vanilla-i18n-key,English,Deutsch
form.model.cff.info,CITATION.cf files allow for generating quick APA citations or Bibtex ones on github for example. See:,"CITATION.cf-Dateien ermöglichen das schnelle Generieren von APA-Zitaten oder Bibtex-Zitaten auf GitHub, zum Beispiel. Siehe:"
form.model.license.title,License,Lizenz
form.model.license.info,"This is a non-exhaustive selection of license options.</br><a href=""https://choosealicense.com"">https://choosealicense.com/</a> can help to find a suitable license and download the template.","Dies ist eine nicht erschöpfende Auswahl von Lizenzoptionen.</br><a href=""https://choosealicense.com"">https://choosealicense.com/</a> kann helfen, eine geeignete Lizenz zu finden und die Vorlage herunterzuladen."
form.model.format.title,Model file format,Modelldateiformat
form.model.format.info,"This is a non-exhaustive selection of model formats options. If none fits, use the "".*"" option.","Dies ist eine nicht erschöpfende Auswahl von Modellformateoptionen. Wenn keine passt, verwenden Sie die Option "".*""."
form.model.type.title,Model type,Modelltyp
form.model.type.input,Model type,Modelltyp
form.model.topology.title,Model topology,Modelltopologie
form.model.topology.input,Model topology,Modelltopologie
form.model.topology.info,"Here you can give information about the topology of the model. Example: VGSL: [1,0,0,3 Ct5,5,16 Mp3,3 Lfys64 Lfx128 Lrx128 Lfx256 O1c105]","Hier können Informationen über die Topologie des Modells angegeben werdenl. Beispiel: VGSL: [1,0,0,3 Ct5,5,16 Mp3,3 Lfys64 Lfx128 Lrx128 Lfx256 O1c105]"
form.model.software.name.title,Software/engine used for training,Software/Engine für das Training verwendet
form.model.software.name.input,Software/engine,Software/Engine
form.model.software.other.name.title,Name of the software/engine,Name der Software/Engine
form.model.software.other.name.input,Software/engine,Software/Engine
form.model.software.version.title,Software version,Software-Version
form.model.software.version.input,Software/Engine version,Software/Engine-Version
form.uses.info,"This section addresses questions around how the model is intended to be used, discusses the foreseeable users of the model (including those affected by the model), and describes uses that are considered out of scope or misuse of the model.","Dieser Abschnitt beantwortet Fragen zur beabsichtigten Verwendung des Modells, diskutiert die absehbaren Benutzer des Modells (einschließlich der von dem Modell betroffenen Personen) und beschreibt Verwendungen, die als nicht im Rahmen oder Missbrauch des Modells betrachtet werden."
form.uses.general.title,General use details,Allgemeine Verwendungsdetails
form.uses.general.input,General use details,Allgemeine Verwendungsdetails
form.uses.direct.title,Direct use,Direkte Verwendung
form.uses.direct.input,"How can this model be used, without additional post-processing or further pipeline work?",Wie kann dieses Modell ohne zusätzliche Nachbearbeitung oder weitere Schritte in der Pipeline verwendet werden?
form.uses.downstream.title,Downstream use,Nachgeschaltete Verwendung
form.uses.downstream.input,"How can this model be used, when incorporated into another system?","Wie kann dieses Modell verwendet werden, wenn es in ein anderes System integriert wird?"
form.uses.oos.title,Out-of-Scope use,Nicht im Rahmen der Verwendung
form.uses.oos.input,What tasks will the model not work for?,Für welche Aufgaben wird das Modell nicht funktionieren?
form.training.type.title,Trainings type,Trainingstyp
form.training.type.input,Trainings type,Trainingstyp
form.training.epochs.title,Epochs,Epochen
form.training.epochs.input,Epochs,Epochen
form.training.epochs.info,An epoch refers to one cycle through the full training dataset.,Eine Epoche bezieht sich auf einen Durchlauf durch den gesamten Trainingsdatensatz.
form.training.basemodel.name.title,Parent modelname,Basismodellname
form.training.basemodel.name.input,Parent modelname,Basismodellname
form.training.basemodel.link.title,Link to parent model,Link zum Basismodell
form.training.basemodel.link.input,Link to parent model,Link zum Basismodell
form.segmentation_data.dataset.title,Ground Truth used for training,Verwendete Ground Truth für das Training
form.segmentation_data.dataset.link.input,Link to dataset,Link zum Datensatz
form.segmentation_data.dataset.description.input,Please describe the dataset,Bitte beschreiben Sie den Datensatz
form.segmentation_data.dataset.input,,
form.segmentation_data.data.modifications.title,Data modifications,Datenmodifikationen
form.segmentation_data.data.modifications.input,Data modifications,Datenmodifikationen
form.segmentation_data.data.modifications.info,"Please insert any modification applied to the data not concerning the transcription (data augmentation, binarazation etc.)","Bitte geben Sie jede Modifikation an, die auf die Daten angewendet wurde und die die Transkription nicht betrifft (Datenanreicherung, Binarisierung usw.)."
form.segmentation_data.layout.features.title,Trained document features,Trainierte Dokumentfunktionen
form.segmentation_data.layout.features.info,,
form.segmentation_data.layout.features.complex_ro,Complex Reading Order,Komplexe Lesereihenfolge
form.segmentation_data.layout.features.multi_col,Multiple Column,Mehrspaltigkeit
form.segmentation_data.layout.features.table,Tables,Tabellen
form.segmentation_data.layout.features.advert,Advertisment,Werbung
form.segmentation_data.layout.features.marginal,Marginal,Marginal
form.segmentation_data.layout.features.initial,Initial,Initial
form.segmentation_data.layout.tags.title,Element tags,Element-Tags
form.segmentation_data.layout.tags.info,,
form.segmentation_data.layout.tags.description.title,,
form.segmentation_data.layout.tags.description.input,Tag,Tag
form.segmentation_data.element_type.title,Element type(s),Elementtyp(en)
form.segmentation_data.element_type.info,"To ease data entry, default values are already selected. Just click on it to deselect the one you don't want.","Zur Erleichterung der Dateneingabe sind Standardwerte bereits ausgewählt. Klicken Sie einfach darauf, um diejenigen zu deaktivieren, die Sie nicht möchten."
form.segmentation_data.prec.select.level1,Level 1,Level 1
form.segmentation_data.prec.select.level2,Level 2,Level 2
form.segmentation_data.prec.select.level3,Level 3,Level 3
form.segmentation_data.prec.select.levelmix,Level mix,Level gemischt
form.transcription_data.dataset.title,Ground Truth used for training,Verwendete Ground Truth für das Training
form.transcription_data.dataset.link.input,,
form.transcription_data.dataset.description.input,,
form.transcription_data.dataset.input,,
form.transcription_data.script.type.select.info, -- select an option -- ,-- eine Option auswählen --
form.transcription_data.script.type.select.print,Print (e.g. books),Druck (z. B. Bücher)
form.transcription_data.script.type.select.only-typed,Typed only,Nur getippt
form.transcription_data.script.type.select.only-manuscript,Manuscript only,Nur Manuskript
form.transcription_data.script.type.select.mainly-typed,Mainly typed,Hauptsächlich getippt
form.transcription_data.script.type.select.mainly-manuscript,Mainly manuscript,Hauptsächlich Manuskript
form.transcription_data.script.type.select.evenly-mixed,Evenly typed and manuscript,Gleichmäßig getippt und Manuskript
form.transcription_data.script.type.select.all,All,Alle
form.transcription_data.script.title,Document type,Dokumenttyp
form.transcription_data.year.start.title,Training data Start-Year,Startjahr der Trainingsdaten
form.transcription_data.year.start.input,,
form.transcription_data.year.info,"For centuries, please prefer the use of 1200 when a dataset starts in the 13th century and 1299 when it ends in the 13th century. Dates do not need to be precise.","Bei Jahrhunderten verwenden Sie bitte die Verwendung von 1200, wenn ein Datensatz im 13. Jahrhundert beginnt, und 1299, wenn er im 13. Jahrhundert endet. Daten müssen nicht präzise sein."
form.transcription_data.year.end.title,Training data End-Year,Endjahr der Trainingsdaten
form.transcription_data.year.end.input,,
form.transcription_data.scripts.title,Font/Writing system,Schriftsatz/Schriftsystem
form.transcription_data.scripts.info,"To ease data entry, default values are already selected. Just click on it to deselect the one you don't want.","Zur Erleichterung der Dateneingabe sind Standardwerte bereits ausgewählt. Klicken Sie einfach darauf, um diejenigen zu deaktivieren, die Sie nicht möchten."
form.transcription_data.languages.title,Language(s),Sprache(n)
form.transcription_data.languages.info,"To ease data entry, default values are already selected. Just click on it to deselect the one you don't want.","Zur Erleichterung der Dateneingabe sind Standardwerte bereits ausgewählt. Klicken Sie einfach darauf, um diejenigen zu deaktivieren, die Sie nicht möchten."
form.transcription_data.guidelines.title,Transcription guidelines,Transkriptionsrichtlinien
form.transcription_data.guidelines.input,,
form.transcription_data.guidelines.info,"Guidelines used to transcribe the resources (normalization, resolution of abbreviation, correction of mispelling, etc.)","Richtlinien zur Transkription der Ressourcen (Normalisierung, Auflösung von Abkürzungen, Korrektur von Rechtschreibfehlern, etc.)"
form.transcription_data.prec.select.level1,Level 1,Level 1
form.transcription_data.prec.select.level2,Level 2,Level 2
form.transcription_data.prec.select.level3,Level 3,Level 3
form.transcription_data.prec.select.levelmix,Level mix,Level gemischt
form.transcription_data.prec.title,Transcription level,Transkriptionsstufe
form.transcription_data.data.modifications.title,Data modifications,Datenmodifikationen
form.transcription_data.data.modifications.input,Data modifications,Datenmodifikationen
form.transcription_data.data.modifications.info,"Please insert any modification applied to the data not concerning the transcription (data augmentation, binarazation etc.)","Bitte geben Sie jede Modifikation an, die auf die Daten angewendet wurde und die die Transkription nicht betrifft (Datenanreicherung, Binarisierung usw.)."
form.project.name.title,Project's name (if different from the repository/dataset's one),Projektname (falls unterschiedlich vom Namen des Repositorys/Datensatzes)
form.project.name.input,Project's name (if different from the repository/dataset's one),Projektname (falls unterschiedlich vom Namen des Repositorys/Datensatzes)
form.project.link.title,Link to project's website,Link zur Website des Projekts
form.project.link.input,Link to project's website,Link zur Website des Projekts
form.person.authors,Authority and role(s),Autorität und Rolle(n)
form.person.member.rm,Remove person,Person entfernen
form.person.member.add,Add person,Person hinzufügen
form.person.member.name,Author's first name,Vorname des Autors
form.person.member.surname,Author's last name,Nachname des Autors
form.person.member.mainCreator,Project Manager,Projektmanager
form.person.member.creator,Creator,Schöpfer
form.person.member.qualityControl,Quality Control,Qualitätskontrolle
form.person.member.support,Support,Unterstützung
form.person.member.status,This contributor is an institution,Dieser Beitragende ist eine Institution
form.person.member.person,Person,Person
form.person.member.institution,Institution,Institution
form.person.member.roles,Roles,Rollen
form.person.member.cardCreator,Card Creator,
form.person.member.contact,Contact,
form.generate.metadata.download.text3,A METADATA.yml file is created in your repository. You can now paste into the metadata created.,Eine METADATA.yml-Datei wird in Ihrem Repository erstellt. Sie können sie jetzt in die erstellten Metadaten einfügen.
form.generate.metadata.download.text2,to the clipboard and click on this,in die Zwischenablage und klicken Sie auf diese
form.generate.metadata.download.text,this file below or,diese Datei unten oder
form.generate.metadata.download.push_link,link,Link
form.generate.metadata.download.push_copy,copy your content,Inhalt kopieren
form.generate.metadata.download.dl,Download,Herunterladen
form.generate.btn.get,Get formatted metadata,Formatierte Metadaten abrufen
footer.team,Who are the people behind OCR-D?,Wer sind die Personen hinter OCR-D?
form.risks.info,What are the known or foreseeable issues stemming from this model? Use this section to convey both technical and sociotechnical limitations.,"Welche bekannten oder absehbaren Probleme ergeben sich aus diesem Modell? Verwenden Sie diesen Abschnitt, um sowohl technische als auch soziotechnische Einschränkungen zu erläutern."
form.risks.input,Provide an overview of the possible Limitations and risks that may be associated with this model,"Geben Sie einen Überblick über die möglichen Einschränkungen und Risiken, die mit diesem Modell verbunden sein können"
form.risks.title,Limitations and risks,Grenzen und Risiken
form.risks.recommendations.title,Recommendations,Empfehlungen
form.risks.recommendations.input,"How can the known or foreseeable issues be addressed?""",Wie können die bekannten oder absehbaren Probleme behandelt werden?
form.environmental.info,"Carbon emissions can be estimated using the <a href=""https://mlco2.github.io/impact#compute"" target=""_blank"" rel=""noopener noreferrer"">Machine Learning Impact calculator</a> presented in <a href=""https://arxiv.org/abs/1910.09700"" target=""_blank"" rel=""noopener noreferrer"">Lacoste et al. (2019)</a>.","Die Kohlenstoffemissionen können mithilfe des <a href=""https://mlco2.github.io/impact#compute"" target=""_blank"" rel=""noopener noreferrer"">Machine Learning Impact Calculator</a> geschätzt werden, der in <a href=""https://arxiv.org/abs/1910.09700"" target=""_blank"" rel=""noopener noreferrer"">Lacoste et al. (2019)</a> vorgestellt wird."
form.environmental.hardware.title,Hardware type,Hardwaretyp
form.environmental.hardware.input,Hardware type,Hardwaretyp
form.environmental.hours.title,Hours used,Verwendete Stunden
form.environmental.hours.input,Hours used,Verwendete Stunden
form.environmental.provider.title,Cloud provider,Cloud-Anbieter
form.environmental.provider.input,Cloud provider,Cloud-Anbieter
form.environmental.carbon.title,Carbon emitted in grams of CO2eq,Kohlenstoffemissionen in Gramm CO2eq
form.environmental.carbon.input,Carbon emitted in grams of CO2eq,Kohlenstoffemissionen in Gramm CO2eq
form.environmental.region.title,Compute region,Berechnungsregion
form.environmental.region.input,Compute region,Berechnungsregion
form.heading.segmentation_data,Segmentation training & data,Segmentierungstraining & -daten
form.segmentation_data.layout.features.intial.title,Inital,Anfang
form.segmentation_data.prec.title,Segmentation level,Segmentierungsebene
form.heading.transcription_data,Transcription training & data,Transkriptionstraining & -daten
form.evaluation.title,Evaluation,Evaluation
form.evaluation.input,Evaluation information,Evaluationsinformationen
form.evaluation.info,Detail the evaluation results for this model,Beschreiben Sie die Bewertungsergebnisse für dieses Modell
form.evaluation.data.title,Testing data,Testdaten
form.evaluation.data.input,Ideally this links to a dataset,Im Ideafall kann hier ein Link zu einem Datensatz stehen
form.evaluation.factors.input,"What are the foreseeable characteristics that will influence how the model behaves? This includes domain and context, as well as population subgroups.","Welches sind die vorhersehbaren Merkmale, die das Verhalten des Modells beeinflussen werden?"
form.evaluation.factors.title,Factors,Faktoren
form.evaluation.metrics.input,What metrics will be used for evaluation in light of tradeoffs between different errors?,Welche Metriken werden für die Bewertung im Hinblick auf Kompromisse zwischen verschiedenen Fehlern verwendet?
form.evaluation.metrics.title,Metrics,Metriken
form.evaluation.results.input,Evaluation results,Bewertungsergebnisse
form.evaluation.results.title,Results,Ergebnisse
form.glossary.title,Glossary details,Glossardetails
form.glossary.info,Terms used in the model card that need to be clearly defined in order to be accessible across audiences go here.,"In diesem Abschnitt müssen Begriffe, die in der Modellkarte verwendet werden und klar definiert werden müssen, um für das Publikum zugänglich zu sein, klar definiert werden."
form.glossary.input,Glossary details,Glossardetails
form.howto.title,How to get started?,Anwendungsanweisung
form.howto.info,Some guidelines how to get started with the model or link to an online instance to test the model,"Einige Richtlinien, wie Sie mit dem Modell beginnen können, oder ein Link zu einer Online-Instanz, um das Modell zu testen"
form.howto.input,Description how to get started,Anwendungsanweisung
form.segmentation_data.layout.features.titel,Trained document features,Eigenschaften der trainierten Dokumente
form.segmentation_data.layout.features.intial,Initial,Initiale
,,Hey
